,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
24-Jun-15,9.041983257,8.15861644,9.295495527
25-Jun-15,9.047470793,8.163801423,9.30020667
26-Jun-15,9.04520862,8.161683283,9.298469374
29-Jun-15,9.037003135,8.153082096,9.289309581
30-Jun-15,9.043587787,8.160378238,9.296841869
01-Jul-15,9.053946177,8.17075708,9.307534231
02-Jul-15,9.053676036,8.17170685,9.308856317
03-Jul-15,9.057765949,8.17494229,9.311916335
06-Jul-15,9.062825957,8.180348886,9.31770398
07-Jul-15,9.062701941,8.180791352,9.318721122
08-Jul-15,9.045622556,8.164541572,9.302934138
09-Jul-15,9.042085021,8.160549676,9.299069856
10-Jul-15,9.045279391,8.163237404,9.301942777
13-Jul-15,9.057141406,8.175074644,9.313678243
14-Jul-15,9.056387006,8.174618372,9.313902772
15-Jul-15,9.063860364,8.18153862,9.320620666
16-Jul-15,9.07354652,8.191532301,9.330269547
17-Jul-15,9.074392347,8.192863732,9.331935687
20-Jul-15,9.074257155,8.193015862,9.332526146
21-Jul-15,9.064292112,8.182086822,9.32120531
22-Jul-15,9.076077283,8.193375349,9.332268582
23-Jul-15,9.072169663,8.190079824,9.329818858
24-Jul-15,9.064373116,8.1823049,9.322060622
27-Jul-15,9.046039856,8.165193018,9.305656006
28-Jul-15,9.042597232,8.161797429,9.302489196
29-Jul-15,9.046863337,8.166912049,9.307885326
30-Jul-15,9.053126171,8.173358317,9.314531004
31-Jul-15,9.065697186,8.18561496,9.326648543
03-Aug-15,9.067048356,8.18815009,9.329851691
04-Aug-15,9.066296776,8.189127917,9.331331589
05-Aug-15,9.072932906,8.195766796,9.3380931
06-Aug-15,9.075972058,8.198064483,9.34016967
07-Aug-15,9.07371047,8.195670255,9.337742771
10-Aug-15,9.06916383,8.19155169,9.333615852
11-Aug-15,9.060929276,8.183444842,9.325331068
12-Aug-15,9.045317133,8.167391714,9.308762976
13-Aug-15,9.045728666,8.167428602,9.307701175
14-Aug-15,9.066191672,8.187146268,9.326887978
17-Aug-15,9.06242488,8.184011535,9.324320631
18-Aug-15,9.06233676,8.184240354,9.325459418
19-Aug-15,9.06539321,8.186639804,9.327997177
20-Aug-15,9.05172206,8.172314116,9.313157757
21-Aug-15,9.042736773,8.163892548,9.304846592
24-Aug-15,8.977843212,8.096601247,9.23579757
25-Aug-15,8.990527518,8.109718065,9.248293936
26-Aug-15,8.979052495,8.09933865,9.239173668
27-Aug-15,9.000352405,8.121064364,9.261262548
28-Aug-15,9.005536368,8.125678325,9.265739127
31-Aug-15,9.002204884,8.122199071,9.26258931
01-Sep-15,8.97873739,8.099797192,9.240163217
02-Sep-15,8.970021414,8.092224111,9.233372094
03-Sep-15,8.983560216,8.105090101,9.246218968
