Date,Open,High,Low,Close
08/16/23, 15737.02, 15814.66, 15725.10, 15789.45
08/15/23, 15909.57, 15923.13, 15703.03, 15767.28
08/14/23, 15818.21, 15937.78, 15817.59, 15904.25
08/11/23, 15927.79, 15962.45, 15803.08, 15832.17
08/10/23, 15921.42, 16060.27, 15880.41, 15996.52
08/09/23, 15918.06, 15983.78, 15831.08, 15852.58
08/08/23, 15868.31, 15946.57, 15706.31, 15774.93
08/07/23, 15877.54, 15962.61, 15824.78, 15950.76
08/04/23, 15917.01, 15973.96, 15784.52, 15951.86
08/03/23, 15879.03, 15920.32, 15807.85, 15893.38
08/02/23, 16027.65, 16140.76, 15955.31, 16020.02
08/01/23, 16414.79, 16430.66, 16240.40, 16240.40
07/31/23, 16434.66, 16528.97, 16427.47, 16446.83
07/28/23, 16356.38, 16490.13, 16336.42, 16469.75
07/27/23, 16162.16, 16408.80, 16131.64, 16406.03
07/26/23, 16183.70, 16212.91, 16000.04, 16131.46
07/25/23, 16169.75, 16225.89, 16135.60, 16211.59
07/24/23, 16126.71, 16208.76, 16121.27, 16190.95
07/21/23, 16125.21, 16181.34, 16103.48, 16177.22
07/20/23, 16059.22, 16211.43, 16050.98, 16204.22
07/19/23, 16190.00, 16240.79, 16075.17, 16108.93
07/18/23, 16042.03, 16140.20, 16031.07, 16125.49
07/17/23, 16013.52, 16102.51, 15995.45, 16068.65
07/14/23, 16123.13, 16149.12, 16071.74, 16105.07
07/13/23, 16009.26, 16185.11, 16000.38, 16141.03
07/12/23, 15842.26, 16044.28, 15806.28, 16023.00
07/11/23, 15716.26, 15807.66, 15659.10, 15790.34
07/10/23, 15585.34, 15722.03, 15545.33, 15673.16
07/07/23, 15515.00, 15661.41, 15456.16, 15603.40
07/06/23, 15816.11, 15846.25, 15495.84, 15528.54
07/05/23, 15930.16, 15982.96, 15901.39, 15937.58
07/04/23, 16082.93, 16103.95, 16023.72, 16039.17
07/03/23, 16187.91, 16209.29, 16070.49, 16081.04
06/30/23, 15989.43, 16176.55, 15978.90, 16147.90
06/29/23, 15960.47, 15998.67, 15920.04, 15946.72
06/28/23, 15922.71, 15994.31, 15906.88, 15949.00
06/27/23, 15873.73, 15895.70, 15758.13, 15846.86
